chr	pos
chrI	63
chrI	136
chrI	610
chrI	848
chrI	876
chrI	904
chrI	925
chrI	968
chrI	1008
chrI	1013
chrI	1101
chrI	1164
chrI	1263
chrI	1379
chrI	1382
chrI	1483
chrI	1547
chrI	1589
chrI	1592
chrI	1918
chrI	1927
chrI	2029
chrI	2146
chrI	2406
chrI	2535
chrI	2536
chrI	2643
chrI	2706
chrI	2823
chrI	3279
chrI	3389
chrI	3522
chrI	3990
chrI	4022
chrI	4067
chrI	4508
chrI	4597
chrI	6059
chrI	6370
chrI	6645
chrI	6722
chrI	6798
chrI	8000
chrI	8387
chrI	8570
chrI	8899
chrI	9086
chrI	9350
chrI	9661
chrI	9700
chrI	9742
chrI	10108
chrI	10317
chrI	10325
chrI	11041
chrI	11102
chrI	11504
chrI	11601
chrI	12190
chrI	12361
chrI	12396
chrI	13194
chrI	13246
chrI	13413
chrI	13420
chrI	13442
chrI	13688
chrI	13807
chrI	13830
chrI	14012
chrI	14025
chrI	14062
chrI	14195
chrI	14221
chrI	14314
chrI	14405
chrI	14634
chrI	14687
chrI	14723
chrI	14888
chrI	15045
chrI	15236
chrI	15426
chrI	15475
chrI	15477
chrI	15502
chrI	15730
chrI	15772
chrI	15921
chrI	16046
chrI	16098
chrI	16196
chrI	16264
chrI	16580
chrI	16605
chrI	16659
chrI	16699
chrI	16783
chrI	16807
chrI	16848
chrI	16971
chrI	16982
chrI	17048
chrI	17163
chrI	17188
chrI	17347
chrI	17350
chrI	17557
chrI	17651
chrI	17772
chrI	17808
chrI	17810
chrI	17914
chrI	17938
chrI	18105
chrI	18264
chrI	18377
chrI	18457
chrI	18498
chrI	18505
chrI	18517
chrI	18553
chrI	18562
chrI	18724
chrI	18876
chrI	18877
chrI	19040
chrI	19066
chrI	19099
chrI	19196
chrI	19215
chrI	19284
chrI	19436
chrI	19586
chrI	19611
chrI	19812
chrI	19865
chrI	19934
chrI	20118
chrI	20153
chrI	20406
chrI	20415
chrI	20684
chrI	20711
chrI	20729
chrI	20767
chrI	21017
chrI	21058
chrI	21145
chrI	21221
chrI	21278
chrI	21346
chrI	21394
chrI	21412
chrI	21593
chrI	21681
chrI	21745
chrI	21746
chrI	21758
chrI	21781
chrI	21829
chrI	21854
chrI	21896
chrI	21960
chrI	22065
chrI	22254
chrI	22278
chrI	22321
chrI	22337
chrI	22373
chrI	22528
chrI	23467
chrI	23636
chrI	23639
chrI	23678
chrI	23681
chrI	23813
chrI	23843
chrI	23862
chrI	23910
chrI	24431
chrI	24514
chrI	24603
chrI	24814
chrI	24861
chrI	25340
chrI	25351
chrI	27126
chrI	27210
chrI	27290
chrI	27356
chrI	27357
chrI	27370
chrI	27522
chrI	27540
chrI	27561
chrI	27563
chrI	27576
chrI	27582
chrI	27591
chrI	27593
chrI	27597
chrI	27611
chrI	27622
chrI	27624
chrI	27646
chrI	27681
chrI	27684
chrI	27685
chrI	27688
chrI	27693
chrI	27725
chrI	27729
chrI	27732
chrI	27738
chrI	27744
chrI	27749
chrI	27756
chrI	27761
chrI	27766
chrI	27781
chrI	27783
chrI	27810
chrI	27816
chrI	27822
chrI	27914
chrI	27970
chrI	27983
chrI	27997
chrI	28385
chrI	28433
chrI	28458
chrI	28684
chrI	28844
chrI	28975
chrI	29093
chrI	29131
chrI	29180
chrI	29226
chrI	29227
chrI	29374
chrI	29449
chrI	29459
chrI	29508
chrI	29530
chrI	29564
chrI	29746
chrI	29778
chrI	29817
chrI	29970
chrI	30004
chrI	30051
chrI	30153
chrI	30190
chrI	30226
chrI	30335
chrI	30371
chrI	30427
chrI	30478
chrI	30522
chrI	30601
chrI	30669
chrI	30670
chrI	30713
chrI	30749
chrI	30817
chrI	30840
chrI	31128
chrI	31154
chrI	31755
chrI	31821
chrI	32158
chrI	32271
chrI	32511
chrI	32574
chrI	32595
chrI	32989
chrI	33070
chrI	34554
chrI	35508
chrI	36048
chrI	36123
chrI	37976
chrI	38524
chrI	39919
chrI	39920
chrI	41481
chrI	41739
chrI	41802
chrI	42484
chrI	42527
chrI	42590
chrI	42635
chrI	43478
chrI	44384
chrI	46030
chrI	46375
chrI	46669
chrI	46846
chrI	47206
chrI	47660
chrI	47690
chrI	48115
chrI	49103
chrI	50024
chrI	50354
chrI	50384
chrI	50456
chrI	51434
chrI	52632
chrI	52939
chrI	52996
chrI	54198
chrI	54481
chrI	55213
chrI	56159
chrI	57669
chrI	58073
chrI	58494
